file,IOU,dice_coeffecient,pixel_accuracy,MSE_overlap,SSIM_overlap,XOR_overlap
ISIC_0026280,0.45048031871461997,0.0027359620857326807,0.5264777777777778,22628.16604814815,0.40654215217109174,0.3714
ISIC_0026281,0.11126585533081934,0.0009912064861131997,0.5259444444444444,22456.559596296298,0.3985290231992209,0.4608777777777778
ISIC_0026282,0.019338021667707515,0.00016872724998391974,0.32232222222222223,38373.010707407404,0.23153412064315038,0.6688296296296297
ISIC_0026283,0.4193473714459043,0.0030015663165467777,0.7160592592592593,7595.606107407408,0.550602324640906,0.2694185185185185
ISIC_0026284,0.0009440704435366467,7.95124076232558e-06,0.16045925925925925,50544.85615925926,0.09091931323722961,0.8387555555555556
ISIC_0026285,0.6890055870609542,0.003572437456194959,0.8039814814814815,5814.250077777778,0.6947474026522545,0.16472222222222221
ISIC_0026286,0.2371673237442608,0.0017687551524993154,0.7099148148148148,13895.617233333332,0.6230850190012082,0.2873703703703704
ISIC_0026287,0.4696460895075214,0.0029668279675485595,0.6206592592592592,14395.378288888889,0.46226663343070906,0.3146962962962963
ISIC_0026288,0.5195709708873102,0.0030827990069027477,0.7836,7921.385033333333,0.6800697368964072,0.2043851851851852
ISIC_0026289,0.323592210229939,0.0025141252631944977,0.7823629629629629,7174.0155888888885,0.6633688303922218,0.21354444444444445
ISIC_0026290,0.27356552723088334,0.0017817665950846003,0.39442962962962963,36159.02345185185,0.3336883221074219,0.5330925925925926
ISIC_0026291,0.9176174658969977,0.0038266337387673727,0.9069259259259259,4232.087792592592,0.8647074793562116,0.04730740740740741
ISIC_0026292,0.8244979835760704,0.0037205893765094446,0.9116592592592593,2995.553962962963,0.8648040500527902,0.06221481481481481
ISIC_0026293,0.814368015247336,0.0036847660632663387,0.9636333333333333,1246.9073851851851,0.9372693128416101,0.03174444444444444
ISIC_0026294,0.6782026517258467,0.0035514191178991975,0.8721444444444445,3438.9892703703704,0.7899276859301758,0.11784814814814815
ISIC_0026295,0.3271132530120482,0.0024022051192587467,0.6005,15370.575755555556,0.43876589533595906,0.38784444444444444
ISIC_0026296,0.0035661674790551648,3.2163199872126916e-05,0.349,36284.0742,0.25548527010211275,0.6488592592592592
ISIC_0026297,0.18799644200308985,0.0014498625943183186,0.6054222222222222,19839.15938888889,0.5136832198702722,0.385437037037037
ISIC_0026298,0.27600803492808923,0.0019892481834760914,0.27211111111111114,38813.721648148145,0.15448164642975368,0.5846851851851852
ISIC_0026299,0.8024706309797748,0.0036378925904800717,0.8440703703703704,7360.145762962963,0.7833395108423888,0.1026925925925926
ISIC_0026300,0.7148119194010719,0.003463364125882404,0.7970037037037037,9580.981140740741,0.7276405592369418,0.14997407407407407
ISIC_0026301,0.31850373016706945,0.0021475541331313053,0.6186703703703703,18914.63252962963,0.5210064710409554,0.3603222222222222
ISIC_0026302,0.8101264243014215,0.0036698332237951087,0.8031888888888888,9121.544907407408,0.7396353985965121,0.1126962962962963
ISIC_0026303,0.0349629136739926,0.00030979901301311926,0.2544148148148148,40605.357622222225,0.14312977168405008,0.7305259259259259
ISIC_0026304,0.6588858257633962,0.0033006584497596815,0.4671962962962963,27315.912285185186,0.3806237281143865,0.33545925925925923
ISIC_0026305,0.70319525145784,0.00357855096954635,0.8647666666666667,4690.19802962963,0.7878209569424199,0.10537777777777778
ISIC_0026306,0.2460995555946027,0.0020800848123115477,0.6081,14180.288362962963,0.4320709148827976,0.3813814814814815
ISIC_0026307,0.08089804987733527,0.0006190539106587258,0.05995925925925926,57637.56864074074,0.014255418128908072,0.8977481481481482
ISIC_0026308,0.005582341477806505,4.547814777371421e-05,0.04616296296296296,59352.01429259259,0.011266222499767546,0.9487407407407408
ISIC_0026309,0.421420814708185,0.0027164923046894413,0.8298148148148148,6908.115351851852,0.7567675647248198,0.1697037037037037
ISIC_0026310,0.182032138285269,0.0015404105624096558,0.6189814814814815,16567.95604814815,0.488000648009153,0.38101851851851853
ISIC_0026311,0.4098254502501192,0.0026493018730307564,0.6537333333333334,14267.318333333333,0.516938965869887,0.3071814814814815
ISIC_0026312,0.0002215233687375146,1.8240025775762138e-06,0.06372222222222222,57720.765666666666,0.01489940223286862,0.9360703703703703
ISIC_0026313,0.14756259116029494,0.0014554266594305576,0.5223851851851852,17393.01968888889,0.32182993862563425,0.4718777777777778
ISIC_0026314,0.004677955834263502,4.0159013320971035e-05,0.3400851851851852,38810.053625925924,0.2733486609949375,0.6572185185185185
ISIC_0026315,0.013849845731916352,0.00011718302584419766,0.08346666666666666,54340.40776666666,0.018244540146764576,0.9055962962962963
ISIC_0026316,0.599993312043338,0.0032466780471545947,0.7863,8702.112325925926,0.6977573582374633,0.17721481481481483
ISIC_0026317,0.6822314130840876,0.0032612305992952223,0.7749814814814815,12834.270155555556,0.7265166404442782,0.17955925925925925
ISIC_0026318,0.7640137033910928,0.003609492674873798,0.9427740740740741,1906.6900074074074,0.9051160809693586,0.052811111111111114
ISIC_0026319,0.5674121604507623,0.00300263894600556,0.5241629629629629,26599.070255555554,0.45603673091457936,0.3605555555555556
ISIC_0026320,0.005964008228973176,5.1435985573256814e-05,0.07326296296296296,53950.51551851852,0.003508135982253923,0.921637037037037
ISIC_0026321,0.6044355674473818,0.0031450299820047576,0.4257888888888889,30599.969096296296,0.33819051679472867,0.38875925925925925
ISIC_0026322,0.02500206526228831,0.00021006872263085307,0.11024444444444445,52400.37766666667,0.03368128815520959,0.8742481481481481
ISIC_0026323,0.17238876214482857,0.0013631154495269149,0.6046592592592592,19734.60285185185,0.5141467988084849,0.384262962962963
ISIC_0026324,0.18669507960655432,0.0014809056189459381,0.4283518518518519,28217.29772962963,0.2870703685746104,0.518774074074074
ISIC_0026325,0.8547567674440595,0.0037200131623810083,0.8996666666666666,4894.043144444445,0.8585659418896431,0.06257777777777777
ISIC_0026326,0.0173597050795938,0.00013975688905991455,0.29902222222222224,43706.48134814815,0.26116029252711637,0.6920444444444445
ISIC_0026327,0.49054629330323635,0.0028211385848764285,0.5704,22053.196577777777,0.4783565800273565,0.3443925925925926
ISIC_0026328,0.8906922157360627,0.003812884262456173,0.9111814814814815,3772.7196555555556,0.8735552324169324,0.0463962962962963
ISIC_0026329,0.13783203704598312,0.0011385860525089868,0.5362222222222223,23098.399862962964,0.40819194833987504,0.4627
ISIC_0026330,0.6647699561046985,0.0034152555651180694,0.8649888888888889,5063.581833333334,0.7939371211040945,0.12219259259259259
ISIC_0026331,0.9412029139194984,0.0038993958264502146,0.9634444444444444,828.0077740740741,0.9404739807880418,0.018892592592592593
ISIC_0026332,0.8154571961306954,0.003701675851316853,0.9377148148148148,1902.9765962962963,0.9013001990781087,0.05461851851851852
ISIC_0026333,0.0008409923709977774,7.026709526726735e-06,0.13682222222222223,52416.88412592593,0.07416304057540025,0.8624518518518518
ISIC_0026334,0.7604514863840977,0.0036764406835446406,0.9107222222222222,2140.8578074074076,0.8493045247504202,0.07962592592592592
ISIC_0026335,0.2772208566739353,0.0021468429093140567,0.6320148148148148,14708.248392592592,0.48589932830636956,0.3474185185185185
ISIC_0026336,0.11701508746072994,0.0010196954669517443,0.578274074074074,20242.881144444444,0.4657325680881387,0.4215925925925926
ISIC_0026337,0.5462258061210898,0.0029564880083590246,0.5764814814814815,23069.031085185186,0.5032693919116218,0.32805185185185187
ISIC_0026338,0.8623526877426745,0.00371269622945159,0.8396777777777777,7996.589362962963,0.7965693900935993,0.09702962962962963
ISIC_0026339,0.6598240469208211,0.0036780373980290337,0.8657333333333334,2099.4695185185187,0.760811488099428,0.11557037037037036
ISIC_0026340,0.09476137507283225,0.0007197815766060744,0.1277037037037037,53275.517362962964,0.07112112797124899,0.8228518518518518
ISIC_0026341,0.38798975604604496,0.002902587194643699,0.8261259259259259,4675.809333333334,0.7115877362729337,0.17170740740740742
ISIC_0026342,0.8648960276725732,0.0037452193981672086,0.8898037037037037,5434.448718518519,0.8490714996721473,0.06249259259259259
ISIC_0026343,0.051429290387518874,0.0004914464441320158,0.2852851851851852,34081.88804814815,0.11748803228879735,0.6980777777777778
ISIC_0026344,0.25670360297588274,0.0021877327973921137,0.6240962962962963,12696.952251851852,0.44835929767136296,0.36744444444444446
ISIC_0026345,0.7607358785178826,0.0035805760220632503,0.8375814814814815,7030.781659259259,0.7771838420124799,0.11974814814814815
ISIC_0026346,0.004745926835035412,4.131372044093354e-05,0.3429259259259259,37955.11017407407,0.265725885568932,0.6547518518518518
ISIC_0026347,0.021660105362241208,0.00018277501490559868,0.29263703703703703,41551.952033333335,0.21941635575826576,0.6967555555555556
ISIC_0026348,0.8387187362878455,0.0037948960569861782,0.878125925925926,4360.109255555555,0.8124443555018036,0.06806666666666666
ISIC_0026349,0.9183160633250063,0.0038102290067229764,0.9314296296296296,3463.3207444444442,0.904487546259604,0.040933333333333335
ISIC_0026350,0.7114526717705959,0.003673385678204736,0.7345074074074074,8664.546525925925,0.5979363372163589,0.16457777777777777
ISIC_0026351,0.14277095217200528,0.0010958329489182501,0.3882555555555556,33340.248877777776,0.28287231878916125,0.5788518518518518
ISIC_0026352,0.8650210326815513,0.003814793439933363,0.9336222222222222,2205.6893111111112,0.886035160031901,0.04325925925925926
